Company,Job Title,Website,State,Department Spend,Industry Sector,Key Products or Services,Employee Count,Annual Sales,Locations,IT Department Size,IT Security Team Size,Contact Center Seats,Operating System,Current ERP,Cloud Service Provider,Cybersecurity Responsibility,Cyber Initiatives,cyber,Cloud Solutions Responsibility,Cloud Initiatives,cloud,Digital Responsibility,Digital Initiatives,digital,Data Management Responsibility,Data Management Initiatives,data,Software / Application Development Responsibility,Development Initiatives,software,Communication Systems Responsibility,Communication Initiatives,communication,Network Systems Responsibility,Network Initiatives,network,Consulting / Outsourcing Responsibility,Consulting Initiatives,consulting,"IT Leadership, Talent Management and Training Responsibility",Leadership Initiatives,IT,Cybersecurity Solutions,Which Cloud Solutions,Digital Solutions,Data Management Solutions,Software / Application Development Solutions,Communication Systems Solutions,Network Systems Solutions,Consulting / Outsourcing Solutions,"IT Leadership, Talent Management and Training Solutions",Data Date,cyber_total_kcount,ucaas_ccaas_total_kcount,mobility_total_kcount,data_center_total_kcount,cloud_total_kcount
Renewal by Andersen,"Vice President, Operations",rbastl.com,MO,265000,Professional Services,Custom replacement windows and doors. Home remodeling,250-500 employees,$250M-$500M,7,1,1,35,Win 10 Pro,Bitdefender,Azure,0,0,"client training. 
 
 user knowledge
 
 unclear resolutions to security threats",0,0,"azure on prem sync
 
 
 
 central management that makes sense
 
 single ""pane of glass"" management opportunities
 
 lack of education",0,0,na,0,0,lg,0,0,no,0,0,"central management 
 
 accurate visibility into live talk
 
 uptime",0,0,"my network though stable is just treading water
 
 
 
 surprise me",0,0,no,0,0,"we will be adding our first employee to the it (team) i want to make it easy for them to get in line with ideas and principles of helpdesk+
 
 
 
 qualified candidates
 
 burnout
 
 training",0,0,0,0,0,0,0,0,0,Fall 21,3,1,0,3,3
GC of SDA,Tech DPO / CISO,adventist.org,"MD
",900000,"Non-Profit
",Faith Based and Global Relief workers ,"1000-5000 employees
","$1B-$5B
",4,46,4,5,"Mixed Windows, Linux Mac",Looking for one,"AWS
",yes,yes,we are just starting several cyber security projects now that new management is being elected in june. we need to we are building and working to secure all our data systems to meet all global privacy requirements.  lots to do. ,no,NO,no,no,NO,no,yes,yes,we are just establishing the gc's data governance process. ,yes,yes,we need to secure our api's custom software and over 200+ websites and applications.  we need testing and verification of applications and websites. ,no,NO,no,no,NO,no,yes,yes,we need to change our databases so they meet not only our growing performance needs but also meet our global privacy and compliance needs.  the same is true for our aips and our software development.,no,NO,no," Application Security - Vulnerability Assessment API Secutiry, Cloud Security, Data Loss Protection Data Security Disaster / Backup Recovery Identity & Access Management, Multi-factor authentication, Zerotrust, Mobile App Security Outsourced Consulting, Penetration Testing and Simulation, Privileged Access Management Risk & Compliance, Security Incident Response Security Rating / Benchmarking, SIEM Third Party Cyber Risk Management User behavior monitoring,",",",",",", Data Governance & MDM,"," APIs, Microsoft Stack Open Source Outsourced Software / Application Development, Software Compliance,",",",","," APIs Cybersecurity Services, Database Modernization, Software / Application Development,",0,Summer 22,4,1,1,1,3
OLM Food Solutions,VP of Technology,olmfoods.com,SD,,Manufacturing,Food products including pizza and frozen sandwiches,"500-1,000",$100M-$250M,4,18,2,0,multiple,SAP,Azure,Yes,Yes,managed soc,Yes,No,no,Yes,Yes,additional review of rpa tools,Yes,Yes,creating a data warehouse,Yes,Yes,creating api connections to multiple systems,Yes,No,no,Yes,Yes,replacing core switches within 12 months,Yes,Yes,finding adhoc talent,Yes,Yes,training for internal team members,"API SecutiryZerotrust,Industrial / IoT SecuritySecurity Operations Center - SOC as a Service,",",Business Intelligence","Artificial Intelligence & Machine Learning,Digital Transformation,Robotic Process Automation (RPA),Workflow and Content Automation",",BI Dashboard & Reporting,Big Data & Analytics,Business Intelligence,Data Cleansing,Data Warehousing,","APIsAutomation Testing SoftwareLow Code Development Platform,Open Source,Software Compliance,",",",",Switching","APIs,Digital Worker,IT Service Management (ITSM),",IT Training Software for staff : SoftwareLeadership coaching,Fall 22,2,1,1,2,3
TTR Sotheby's International Realty,"Director, Information Technology",www.ttrsir.com,DC,,Real Estate,"We are a real estate company. We assist our clients to help their clients with buying and selling houses. Our clients use a variety of services from marketing platforms, VOIP, Security tools, CRMs, and a variety of Saas solutions to do their job","500-1,000",$500M-$1B,10,1,1,10,Mac,DCA Imaging,AWS,Yes,Yes,looking to upgrade and increase our security. mainly from a discovery perspective of what tools we don't know about that can enhance our offering,Yes,No,this isn't an area that we need to focus on in the immediate future,Yes,Yes,i'm mainly approaching this from a discovery perspective of what tools we don't know about that can enhance our offering,Yes,Yes,i'm hoping to settle on a backup solution and come up with a disaster recover plan,Yes,No,this isn't an area that we need to focus on in the immediate future,Yes,Yes,we're updating our voip setting but have spoke to a number of vendors already,Yes,No,this isn't an area that we need to focus on in the immediate future,Yes,No,this isn't an area that we need to focus on in the immediate future,Yes,Yes,"i'm interesting to see what easily accessible training options there are, as well as potentially staffing solutions. i wouldn't mind hearing about courses/certifications too",0,",",",",0,",",",",",",",",0,Fall 22,3,1,0,3,3
Barona Band Of Mission Indians,IT Director,www.barona-nsn.gov,CA,,Software,"Data Security
 Backup and replication Endpoint and email Gateway protection",100-250,$0-$50M,1,8,2,1,Windows 10,No,Azure,Yes,Yes,"endpoints moving to the cloud and all the security challenges.
 i need the right email gateway protection for my environment. fighting ransomware
 currently on prem. looking to move to cloud. at first it will be hybrid and then eventually move completely to cloud.",No,No,no,No,No,no,Yes,No,maintain data retention. improve current systems.,No,No,no,No,No,no,No,No,no,No,No,no,No,no,no,",Security Awareness Computer-Based Training for end-users,Disaster / Backup Recovery,Email Security,Employee monitoring & Insider Threat DetectionEndpoint detection & response (EDR)Endpoint preventionZerotrustPenetration Testing and Simulation,Phishing,Ransomware,Risk & Compliance,Web Security",",",",","Backup/Disaster RecoveryData CleansingData Integration & Access,Data Quality,Data VisualizationServer Storage",",",",",",",",",0,Fall 22,3,1,1,3,4
TOL,"Director, Information Technology",greenstoyotaoflexington.com,KY,$2m,Retail,Our primary business is the sale and service of Toyota and Infiniti vehicles.,250-500 employees,$100M-$250M,6,3,1,1,Win10 Pro,Insight,Azure,0,0,"migrating users to mfa services and sso where possible with proprietary systems. further, educating end users on best practices and acceptable use policies.",0,0,converting users to better dr solutions with multiple layers of redundancy.,0,0,not sure what you're asking here. please advise.,0,0,keeping company controls on data instead of personal accounts.,0,0,no,0,0,streamlining customer experience.,0,0,compliance with protocols.,0,0,shifting liability to qualified firms.,0,0,advancing internal staff's certifications,0,0,0,0,0,0,0,0,0,Fall 21,2,1,2,0,2
Northwestern Health Sciences University,VP of IT,nwhealth.edu,"MN
",2500000,"Education
","Degrees in healthcare
Clinic healthcare","250-500 employees
","$50M-$100M
",10+,15,3,2,Windows,Ellucian,"Azure
",yes,yes,"mfa_x000d_
network segmentation_x000d_
vulnerability management",yes,no,no assistance needed as there are no projects scheduled for the next 3-6 months.,yes,no,no assistance needed as there are no projects scheduled for the next 3-6 months.,yes,yes,"hci_x000d_
backup file servers",yes,no,no assistance needed as there are no projects scheduled for the next 3-6 months.,yes,yes,adding sms to teams,yes,yes,network segmentation,yes,yes,penetration testing,yes,no,no assistance needed as there are no projects scheduled for the next 3-6 months.," Application Security - Vulnerability Assessment, Multi-factor authentication Network Security - Firewall Privileged Access Management,",",",","," Backup/Disaster Recovery, Hyper-converged Infrastructure (HCI),",","," Business SMS and MMS Unified Communications,"," Company Intranet, Switching"," Cybersecurity Services,",0,Summer 22,3,1,1,0,1
Continuum Health,Security Officer,continuumhealth.net,NJ,,Healthcare,"High-performance, physician-owned medical group for primary care physicians and specialists. One organization with a singular goal: to provide the most compassionate, thorough and effective medical care in New Jersey.","500-1,000",$50M-$100M,15,20,1,10,Windows,None,Azure,Yes,Yes,"third party risk assessment
 soc
 3-5 plan",No,No,no,No,No,no,Yes,No,"disaster recovery
 business continuity
 mdm",No,No,no,No,No,no,No,No,no,Yes,Yes,plan for outsourcing to soc,Yes,No,"computer based learning - cyber security, hipaa, osha","Data Loss Protection,Email Security,Endpoint detection & response (EDR),Multi-factor authenticationPhishingRisk & Compliance,Security Incident Response,SIEMThird Party Cyber Risk Management,",",",",","Backup/Disaster Recovery,Data Governance & MDM,",",",",",",","Cybersecurity Services,",",IT Training Software for staff : Cybersecurity,IT Training Software for staff : Software",Fall 22,5,1,1,0,2
Advanced Health Care,CIO,ahcfacilities.com,"UT
",4-5 million,"Healthcare / Hospital
","Skilled Nursing Facilities, Home Health and Hospice","1000-5000 employees
","$250M-$500M
",30,6,1,12,Windows,None,"AWS
",yes,NO,"we are looking at data loss prevention, encryption and zero trust. ",yes,yes,look at a new help desk ticketing system. ,yes,yes,looking how we can utilize technology in healthcare. ,yes,no,we are not looking at anything yet. ,yes,yes,do we need api security? ,yes,no,we are not looking at anything yet. ,yes,no,we are not looking at anything yet. ,yes,no,we are not looking at anything yet. ,yes,yes,how can i grow the skillset of my team? i give them pluralsight however they don't use it. we are looking at something for better it asset management. , API Secutiry Data Loss Protection Data Security Zerotrust,", Help Desk",", Digital Workforce",0," APIs,",",",",",",",", IT Asset Management, IT Certificates, IT Training Software for staff : Cybersecurity, IT Training Software for staff : Software, IT Training Software for staff : IT Operations,",Summer 22,2,1,1,0,1
Paraco Gas Corporation,IT Security Manager,paracogas.com,"NY
",1.2m,"Transportation
",Propane and Propane related Services,"500-1000 employees
","$100M-$250M
",29,4,1,210,Windows 10/Server 2016,Sentinel One,"AWS
",yes,yes,"need a way to better filter incomming emails (office 365 enviroment)_x000d_
need to setup a backup for office 365 (520 users email/teams/onedrive)_x000d_
_x000d_
",yes,yes,engaged with cloud endure,yes,no,not really sure where we are going with this one but its on our mind,yes,NO,need to id pii in our system and remediate it.,yes,no,"pci a/c compliance._x000d_
_x000d_
we have a python programmer who is our salesfore admin who wants to start developing his own code.",yes,yes,marketing is looking to communicate with the whole company en mass.,yes,yes,implementing sdwan from verizon.,yes,yes,bringing in a helpdesk level employee ,yes,yes,we have 4 people for 520 users and one of those people is a project manager.," Disaster / Backup Recovery, Email Security Industrial / IoT Security Phishing,"," Backup/Disaster Recovery,",",", Data Cleansing," Application Integration Software Compliance,"," Business SMS and MMS, BYOD Employee Cell Device Management"," MPLS SD-WAN,",","," IT Advisory / Analyst Support IT Certificates, Staffing - Outsourced staffing - Project based, Staffing - Permanent to hire IT staffing",Summer 22,4,1,1,2,3
Dentons US LLP,"Senior Director, Business Tech Operations",www.dentons.com,IL,,Business Services,Legal Services,"1,000-5,000",$1B-$3B,2 locations,130,6,No,mixed,Thomson Elite,Azure,No,No,no,Yes,Yes,managed services and cloud operations.,No,No,no,No,No,no,Yes,No,automation of business processes.,Yes,No,migration to microsoft telephony,No,No,no,Yes,Yes,x,Looking at managed services providers for IT operations,yes,develop staff to take on cloud operations,0,"Backup/Disaster RecoveryCloud Migration Services,Help DeskIT Service Management (ITSM),Managed File Transfer,Virtualization",",",0,"Low Code Development Platform,",",Telecom Expense Management",",",",Call Centers,Technology Lifecycle Management,","IT Advisory / Analyst Support,IT Training Software for staff : IT Operations,",Fall 22,0,1,0,2,2
Rehab Essentials,Chief Educational Technology Officer,www.rehabessentials.com,MT,,Education,Classes to colleges for physical therapy students,0-50,$0-$50M,0,3,1,3,Windows 10,No,AWS,Yes,No,no,Yes,Yes,"virtual machines, storage",Yes,Yes,digital customer experience optimization,Yes,Yes,bdr,Yes,Yes,"application integration, mobile",No,No,no,No,No,no,Yes,Yes,"digital transformation, qa testing",Yes,Yes,leadership coaching,0,"Backup/Disaster Recovery,Document Management SystemsStorage,Virtual Machines,","Digital Customer Experience Optimization,Workflow and Content Automation",Backup/Disaster RecoveryNetwork and application performance monitoring,"Application IntegrationMobile,",",",",","Digital Transformation (Analytics, AI),QA/Testing",Leadership coaching,Fall 22,1,1,0,3,2
"Paychex, Inc.",Vice President and Chief Information Security Officer,paychex.com,"NY
",501000000,"Banking / Finance
",HR software and services,"10,000+ employees",$5B+,160,2200,76,6400,"Red Hat Enterprise Linux, Microsoft Windows, and MacOS",Oracle EBS,"Azure
",yes,yes,"container security_x000d_
api security_x000d_
breach and attack simulation",no,NO,no,no,NO,no,no,NO,no,no,NO,no,no,NO,no,no,NO,no,no,NO,no,no,NO,no,", Application Security and WAF, API Secutiry, Cloud Security DevOps Security Extended Detection and Response (XDR), Identity & Access Management Zerotrust, Privileged Access Management, Ransomware Security Rating / Benchmarking, Third Party Cyber Risk Management,",",",",",0,",",",",",",",",0,Summer 22,1,1,0,1,2
Samaritas,"Vice President, Senior Living",samaritas.org,MI,250000,Non-Profit,"Two divisions, Senior Living, Child & Family 
 
 Senior living provides affordable housing for seniors from independent living to skilled nursing.
 
 Child & Family services include Michigan's largest foster and adoption services, new Americans, and substance use disorder counseling.",1000-5000 employees,$100M-$250M,40,20,1,1,Windows,Microsoft Dynamics,Azure,0,0,develop cybersecurity program and hire dedicated cybersecurity staff member. moving to mfa and having all apps auth to azure.,0,0,migrating on-prem servers to azure.,0,0,learning and deploying microsoft power apps and automation.,0,0,replacing current backup solution with new solution once all servers moved to azure.,0,0,none,0,0,none,0,0,replacing intranet with microsoft 365 solutions. implementing fortinet sd wan solution.,0,0,none,0,0,getting access to current and concise it operations information.,0,0,0,0,0,0,0,0,0,Fall 21,3,1,1,4,3
APL Logistics,Director Information Security,apllogistics.com,"AZ
",$55M,"Transportation
",We are a global company that handles the process of getting our customers' products from point A to point B. We also provide 3PL and 4PL service from our warehouses.  ,"5000-10,000 employees
","$1B-$5B
","We have 2 datacenters, Dallas, TX and Singapore. We also have servers in some business locations around the globe. ",130,4,I don't understand this question,Mostly Windows 10 & 11. ,SAP,"Azure
",yes,yes,"we are currently evaluating soc as a service, penetration testing, vulnerability management. we are looking to move to a zero trust environment in the next 24 months. we are always concerned with ransomware and insider threats. ",no,NO,no,no,NO,no,no,NO,no,no,NO,no,no,NO,no,no,NO,no,yes,yes,"as mentioned above we are evaluating soc as a service, penetration testing, and vulnerability management. these could be done with consulting or outsourcing companies. ",yes,no,no real initiatives in the next six months. ," Application Security - Vulnerability Assessment, Cloud Security, Critical Event Management Employee monitoring & Insider Threat Detection Zerotrust Penetration Testing and Simulation Ransomware, Security Operations Center - SOC as a Service,",",",",",0,",",",",","," Cybersecurity Services,", IT Certificates Staffing - Staff Retention,Summer 22,9,1,0,0,1
"Peapod, LLC",IT Security Engineer Architect,peapod.com,"IL
",1.5 million,"Retail
","The company I work for offers online food delivery, pickup food delivery, catered food delivery, and pre-shopped food orders at any of our brand affiliated stores.","1000-5000 employees
","$1B-$5B
",5 Corp 40 warehouse/store buildings,275,8,80,Apple and Windows,It's proprietary,"Google 
",yes,no,"currently, we have a need to look into managing pam accounts for our class 1 data_x000d_
areas. currently, we use a corp shared password manager that is not ideal when it comes_x000d_
to account usage accountability. endpoint security is another area of opportunity for us_x000d_
to continue to protect as the devices don't reach the corporate network as often as they_x000d_
normally should.",yes,yes,"we are looking for a solution that will provide or users the ability to travel and continue to_x000d_
perform the work they need to without restrictions on their current hardware. we need a_x000d_
vdi or virtual app solution that would allow our users to continue working without their_x000d_
main desktop or laptop. our company has policies in place that prevent users from_x000d_
traveling abroad with their work asset. this vdi or virtual app will enable to user to work_x000d_
and access network resources virtually anywhere with an internet connection.",no,NO,no,yes,no,"being a part of info sec, my responsibility covers many areas and data management is_x000d_
an important one. the top challenge in this area is having a robust and scalable backup_x000d_
solution that would give us the opportunity to restore quickly from a malicious event, or_x000d_
hardware failure/inaccessibility. we are looking for cloud solution with the option of onprem backup as well, but it has to be fast. our current challenge is our solution is cloud_x000d_
only and takes a very long time to restore. we've found this out the hard way while_x000d_
needing to restore les from tape and cloud. encryption for the backups while in transit_x000d_
and at rest is essential.",yes,NO,"api security is really important currently for our org. we experience bot scraping a lot_x000d_
and have to play whack-a-mole with ip's and user agents. we need a solution that can_x000d_
help thwart malicious trac while preserving and allowing valid trac. we should be_x000d_
able to congure custom ua's for our trac and also have the ability to block via geo_x000d_
location rules. also, having a solution that can throttle any type of trac based on rules_x000d_
that we develop internally.",no,NO,no,yes,no,"we are looking to evaluate new sdwan solutions that can compliment our current_x000d_
network infrastructure while providing reliable and feature rich options to enhance what_x000d_
will be our primary network. currently, we have many remote locations that need to_x000d_
connect back to our datacenter for internet and resources. these locations have a_x000d_
1.5mb t1 connection that has been failing and causing us issues as resources increase_x000d_
in size and demand. fault tolerance is important as well to help with buffering and_x000d_
consistent delivery 99.9% of the time.",no,NO,no,no,NO,no," Critical Event Management Data Loss Protection, DevOps Security,"," Cloud Migration Services, Co-location, Connect Cloud,",","," Big Data & Analytics, Data Governance & MDM Data Quality,"," APIs, Cloud Open Source",","," Company Intranet Hosting, WAN Wireless",",",0,Summer 22,5,1,0,5,9
The Motley Fool,Senior Vice President & Chief Legal Officer,fool.com,VA,500000,Media / Marketing / Advertising,"Investment ideas online subscription services
 
 Financial services",500-1000 employees,$100M-$250M,4,50,5,0,0,0,Hybrid,0,0,"vendor risk management, particularly for companies whose products are not publicly accessible or able to be tested or scanned
 
 
 
 strategies for ransomware protection or response",0,0,no,0,0,no,0,0,"classification in a practical way for business teams
 
 
 
 tracking data flow",0,0,no,0,0,no,0,0,no,0,0,no,0,0,no,0,0,0,0,0,0,0,0,0,Fall 21,2,1,0,0,0
AAFES,VP IT Operations,www.shopmyexchange.com,TX,,Retail,Mass retailer,"10,000+",$5B+,100,600,50,500,multiple,best of breed,Hybrid,No,No,no,Yes,Yes,"architecture, options, colocation",No,No,no,No,No,no,Yes,Yes,"automated testing, low code dev, outsourcing development",No,No,no,No,No,no,Yes,Yes,no,"staff augmentation, cloud skills, dev/testing skills/automation",yes,"national recruiting, virtual efficiency, culture development",0,"Cloud Migration Services,Co-location,SaaS Management,Storage,Virtual Machines,Virtualization",",",0,"Automation Testing SoftwareLow Code Development Platform,Microsoft StackOutsourced Software / Application Development",",",",",",Call Centers,Cloud EnablementSoftware / Application Development,Staffing / Recruiting","IT Advisory / Analyst SupportLeadership coaching,Team Efficiency and Effectiveness Training,",Fall 22,0,1,0,0,2
Professional Healthcare Resources  Inc.,Senior Director of Information Technology,phri.com,"VA
",300K,"Healthcare / Hospital
","Home Healthcare
Hospice Care
Personal Care","500-1000 employees
","Less than $50M
",5,5,1,NO,Windows,HCHB,"Hybrid
",yes,yes,need a network security monitoring tool ,yes,yes,we are looking to migrate our file share server to ms sharepoint or vm,no,NO,no,yes,no,we are looking to migrate our file share server to ms sharepoint or vm,no,NO,no,yes,no,trying to help our staff to bring their own cell phone to be used for work,yes,yes,we are planning to move our from our msp windstream .. that will need us to plan for another isp and voip,yes,no,no,yes,yes,planning for professional development for our it staff,", Security Awareness Computer-Based Training for end-users, Endpoint detection & response (EDR), Multi-factor authentication Network Security - Firewall, Ransomware"," Cloud Migration Services Managed File Transfer Virtual Machines,",",", Server Storage,",",", BYOD Employee Cell Device Management"," Company Intranet, Routing, SD-WAN WIFI,",",",", IT Asset Management, IT Certificates",Summer 22,2,1,0,0,1
"Panda Restaurant Group, Inc.","Director, IS Client Service",www.pandarg.com,CA,,Hospitality,We are national quick service restaurant chain that serves American Chinese food. We own and operate 2300 locations nationwide.,"10,000+",$3B-$5B,2300,100,3,60,"Windows, MacOS",Infor Lawson,AWS,Yes,Yes,secure on-prem and cloud workload.,Yes,Yes,looking at development partner to help with various digital and ops initiatives. computer vision and machine learning initiatives for restaurants.,Yes,Yes,iot business analytics computer vision and machine learning initiatives for restaurants. improve iot security posture protection customer identity for e-commerce.,No,No,no,Yes,Yes,iot business analytics computer vision and machine learning initiatives for restaurants. improve iot security posture protection customer identity for e-commerce.,Yes,Yes,looking at 5g and improving wifi at the stores.,Yes,Yes,looking at 5g and improving wifi at the stores.,Yes,Yes,"looking at development partner to help with various digital and ops initiatives. computer vision and machine learning initiatives for restaurants.
 iot business analytics computer vision and machine learning initiatives for restaurants. improve iot security posture protection customer identity for e-commerce.",No,No,no,Application Security - Vulnerability AssessmentAPI SecutiryData Loss ProtectionData SecurityEmployee monitoring & Insider Threat DetectionEndpoint detection & response (EDR),"Backup/Disaster RecoveryIoTSaaS Management,","Digital Customer Experience Optimization,Digital Transformation,Digital SecurityRobotic Process Automation (RPA),",0,"APIsAutomation Testing SoftwareDevOps,IoT,Mobile,","Business SMS and MMSCloud based phone systems (VOIP),Contact Center Optimization,Contract ManagementOutsourced Consulting,","Company Intranet,Mobility,MPLS,Network Connectivity,SD-WAN,","Business Intelligance,Call Centers,Cybersecurity ServicesDigital Transformation (Analytics, AI),Digital WorkerQA/Testing,Software / Application DevelopmentTechnology Lifecycle Management,",0,Fall 22,3,1,3,6,12
ADT LLC,"IT Director, Data Services",adt.com,"FL
",$15M,"Other
",Residential and Commercial Security,"10,000+ employees","$1B-$5B
",10,NO,NO,NO,NO,Oracle,"Google 
",no,NO,no,yes,yes,"database migration to cloud_x000d_
database monitoring in cloud_x000d_
sql performance monitoring in cloud_x000d_
site reliability engineering for cloud and on-prem",no,NO,no,no,NO,no,no,NO,no,no,NO,no,no,NO,no,no,NO,no,no,NO,no,0,",",",",0,",",",",",",",",0,Summer 22,0,1,0,1,2
"Quail Tools, LLC",IT Director,www.quailtools.com,LA,,Retail,Tool sales & rental for Oil & Gas industry,250-500,$100M-$250M,7,10,3,250,"Windows Server 2019, Windows 10/11",In-House,Azure,Yes,Yes,"looking to possibly replace cylance, vmware, and proofpoint; also looking for possible solutions to enhance current security posture.",Yes,No,no,Yes,No,no,Yes,Yes,looking to add bi to your in-house erp system.,Yes,No,no,Yes,Yes,looking to replace current cisco phone system.,Yes,No,no,Yes,No,no,No,yes,looking to add training for developers and network ops staff.,Data Loss ProtectionData SecurityDisaster / Backup RecoveryEndpoint detection & response (EDR)ZerotrustRansomware,",",",","Backup/Disaster Recovery,BI Dashboard & Reporting,Big Data & Analytics,Business Intelligence,",",",",",",",",","IT Advisory / Analyst Support,IT Training Software for staff : Cybersecurity,IT Training Software for staff : Software,IT Training Software for staff : IT Operations,",Fall 22,2,1,2,1,2
Pacific Premier Bank,"FVP, Information Security Officer",www.ppbi.com,CA,,Finance,Commercial Loans,"1,000-5,000",$5B+,60,50,10,200,Windows,None,Azure,Yes,Yes,cloud security,Yes,Yes,zero trust,No,No,no,Yes,No,data classification,Yes,Yes,api code review,Yes,No,nothing at this time,Yes,No,nothing at this time,No,No,no,No,No,no,",Application Security and WAF,API Secutiry,Cloud Security,Zerotrust,PhishingPrivileged Access ManagementRisk & Compliance,","Backup/Disaster RecoverySaaS Management,Storage",",",",Data Governance & MDM,Encryption,Hyper-converged Infrastructure (HCI),","APIs,Cloud,DevOps,",",",",",",",0,Fall 22,2,1,0,1,2
MIIA Mass Interlocal Insurance Assoc.,Risk Management Consultant,emiia.org,MA,########,Insurance,Property liability and Casualty in addition to Workers comp,50- 100 employees,$500M-$1B,1,3,2,0,Mac os,0,AWS,0,0,"we need to improve our cyber threat protection. implement mfa authentication, develop an it road map 12-24-36 months.",0,0,getting buy in from sr. mgt that the cloud is secure and that we can store pi there safely.,0,0,no,0,0,"ability to access data, have api to domo and netsuite from filemaker",0,0,no,0,0,no,0,0,no,0,0,we need a formal vendor management program,0,0,none of these at-this time,0,0,0,0,0,0,0,0,0,Fall 21,0,1,1,1,2
SAP,Engineering Manager ,sap.com,"CA
",50,"High Tech
","ERP, CRM, HCM ","50- 100 employees
","$50M-$100M
",5,40,5,4,SUSE ,SAP,"Azure
",yes,yes,"cloud security for erp, web apps, vulnerability and malware protection. ",yes,yes,on-prem migration to cloud ,no,NO,no,yes,NO,looking for cloud storage ,yes,yes,devops ,no,NO,no,no,NO,no,no,NO,no,no,NO,no," Application Security - Vulnerability Assessment, Application Security and WAF, API Secutiry, Cloud Security, Data Loss Protection Data Security, DevOps Security Extended Detection and Response (XDR) Fraud Prevention / Transaction Security Multi-factor authentication, Zerotrust Network Security - Intrusion Prevention Systems Network Security - Unified Threat Management Penetration Testing and Simulation, Phishing Privileged Access Management Risk & Compliance, Security Incident Response, Security Operations Center - SOC as a Service, Security Rating / Benchmarking SOAR - Security Orchestration Automation and Response, Third Party Cyber Risk Management, Threat Intelligence Web Security"," Backup/Disaster Recovery, Business Intelligence, Cloud Migration Services, CRM, Dev-Ops ERP SaaS Management, Storage, Virtual Machines, Virtualization",","," Backup/Disaster Recovery Data Cleansing, Data Governance & MDM, Data Integration & Access, Data Quality, Data Visualization, Data Warehousing Hyper-converged Infrastructure (HCI), Server Storage"," APIs, Application Architecture Application Lifecycle Management, DevOps,",",",",",",",0,Summer 22,2,1,0,4,5
MEDVAL,"Vice President, Operations",medval.com,CA,5000,Insurance,"MEDVAL provides pre-settlement and post-settlement services for workersâ€™ compensation and liability claims that require Medicareâ€™s interests to be protected pursuant to 42 CFR 411 et seq. Our Medicare Secondary Payer compliant solutions and services include the preparation of Medicare Set-Aside Arrangements (â€œMSAâ€) and Cost Projections, Conditional Payment and Lien Resolution, MSA Professional Administration, and Structure Settlements",50- 100 employees,Less than $50M,0,2,1,0,Windows 10 Pro,none,Azure,0,0,"we are adding new service lines into the scope of our soc audit plus we need to add compliance with state regulations such as in ca, ny, and fl. smoothly getting the security/compliance landscape in order is needed.",0,0,a costume build solution in a local azure environment will need to be migrated to a cloud based version.,0,0,no,0,0,no,0,0,no,0,0,no,0,0,no,0,0,no,0,0,we will be merging 2 it teams and need to manage the transition plus continue training and growth for the new team.,0,0,0,0,0,0,0,0,0,Fall 21,4,1,0,3,2
AAFES,VP IT Operations,shopmyexchange.com,"TX
",$5M,"Retail
","Many - Fuel, Food, Big Box, Convenience, etc.","10,000+ employees",$5B+,115,550,75,150,Multiple,Mixed,"Hybrid
",no,NO,no,yes,yes,"portability, security, cost",yes,yes,"call center automation, workforce growth/retention/recruiting, improving remote work technology",no,NO,no,yes,yes,"more agile development, standard development processes, containers/improved cloud enablement",no,NO,no,no,NO,no,no,NO,no,no,NO,no,0," Dev-Ops, Help Desk, Virtual Machines,"," Artificial Intelligence & Machine Learning, Digital Workforce",0,", Cloud, DevOps Low Code Development Platform,",",",",",",",0,Summer 22,1,1,0,3,3
AdventHealth,"Director, Information Security Operations",www.adventhealth.com,FL,,Healthcare,Inpatient and Outpatient Healthcare,"10,000+",$5B+,Hundreds,2000,78,30+,"Windows, Linuz, MacOs",Oracle,Azure,Yes,Yes,soar,No,No,no,No,No,no,No,No,no,Yes,Yes,api security,No,No,no,No,No,no,Yes,Yes,might need new mssp,Yes,Yes,certification training,"Application Security - Vulnerability Assessment,Application Security and WAF,API Secutiry,Cloud SecurityData Center Security,Data Security,DevOps Security,Employee monitoring & Insider Threat DetectionEndpoint detection & response (EDR),Extended Detection and Response (XDR)Industrial / IoT SecurityMobile App Security,Mobile SecurityNetwork Security - Intrusion Prevention Systems,Network Security - Monitoring & forensics,Penetration Testing and SimulationSecurity Incident Response,SIEM,SOAR - Security Orchestration Automation and ResponseThreat Intelligence",",",",",0,"APIs,",",",",","Cybersecurity Services,",",IT Training Software for staff : Cybersecurity,",Fall 22,4,1,0,1,2
