Company,Job Title,Website,State,Department Spend,Industry Sector,Key Products or Services,Employee Count,Annual Sales,Locations,IT Department Size,IT Security Team Size,Contact Center Seats,Operating System,Current ERP,Cloud Service Provider,cyber,cloud,digital,data,software,communication,network,consulting,IT,Data Date,cyber_total_kcount,ucaas_ccaas_total_kcount,mobility_total_kcount,data_center_total_kcount,cloud_total_kcount,vendors_total_kcount
APLA Health,CIO,aplahealth.org,"CA
",200000,"Healthcare / Hospital
","Medical, dental, and behavioral health services to patients.  Also provide food pantry and housing services to underserved population and people living with AIDS/HIV.","250-500 employees
","$50M-$100M
",11,9,2,0,Windows 10,NO,NO,"interested in dlp and whether it may make sense for our organization and our environment.  also, looking for future partner/vendor for pen test to be done annually as part of our hipaa security risk assessment.","currently, i am looking for a backup solution to backup my office365 environment along with small amount of data on premise.  we are also looking for a dms solution to store, track, edit, and approve via workflow of our policies and procedures.",no,no,no,none at this time.  we are happy with our ringcentral ucaas solution.,may consider expanding our company intranet for several of our locations.,interested in speaking with vendors that provide hipaa security risk assessments to complete our annual assessment at year-end.,"i am interested in finding training sources that i can have my team take training and certification exams for cybersecurity, networking, salesforce, etc.",Summer 22,7,3,0,2,2,2
Achieva,VP of IT,achieva.info,"PA
",500000,"Non-Profit
","Achieva envisions a community where all people with disabilities lead lives of personal significance. Achieva advocates for, empowers, and supports people with disabilities and their families throughout their lives.","500-1000 employees
","Less than $50M
",2,3,3,0,Windows,None,NO,"email security and encryption
these are are top two",non profit so they have inhouse system,being a nonprofit they are set,encryption and disaster recovery these are our main focus,no,no,intranet,no,it certificates,Summer 22,4,0,1,2,2,0
Advanced Health Care,CIO,ahcfacilities.com,"UT
",4-5 million,"Healthcare / Hospital
","Skilled Nursing Facilities, Home Health and Hospice","1000-5000 employees
","$250M-$500M
",30,6,1,12,Windows,None,"AWS
","we are looking at data loss prevention, encryption and zero trust. ",look at a new help desk ticketing system. ,looking how we can utilize technology in healthcare. ,we are not looking at anything yet. ,do we need api security? ,we are not looking at anything yet. ,we are not looking at anything yet. ,we are not looking at anything yet. ,how can i grow the skillset of my team? i give them pluralsight however they don't use it. we are looking at something for better it asset management. ,Summer 22,2,1,1,0,1,0
AdventHealth,"Director, Information Security Operations",adventhealth.com,"FL
",50M+,"Healthcare / Hospital
",Healthcare,"10,000+ employees",$5B+,"49 Hospitals, several Admin buildings, Hundreds of doctor's offices",2000,85,100+,"Window, Linux, MacOS",Oracle,"Azure
","need new soar soonest
need new tip in next 12 months
need api security in next 12 months",no,no,no,need api security/gateway in next 12 months,no,no,could use mitre att&ck consulting in next 12 months,always need cybersecurity training ideas,Summer 22,6,2,0,2,3,0
Akitra,Founder and CEO,akitra.com,"CA
",$500K,"High Tech
","THE FASTEST PATH TO CUSTOMER TRUST, WITH SECURITY COMPLIANCE AUTOMATION
One integrated platform to achieve compliance with SOC 1, SOC 2, HIPAA, ISO 27001, NIST 800-53, PCI DSS and GDPR. Compliance automation solution to cut time, cost and risk out of compliance readiness and audit. Patented AI technology.

Akitra delivers AI-powered, cloud-based compliance automation and cybersecurity solutions to provide a more integrated and efficient approach to safeguarding your organization's data and applications
","50- 100 employees
","Less than $50M
",several,NO,NO,NO,NO,NO,"AWS
",mostly related to compliance and certifications and training,no,no,no,no,no,no,no,no,Summer 22,2,0,0,1,1,0
"Albaad USA, Inc.",IT Application Manager,albaad.com,Outside the US,20000,"Manufacturing / Natural Resources
","Wet wipes, tampons.","250-500 employees
","$100M-$250M
",2,1,1,0,NO,NO,"Hybrid
","radius server and its integration with the firewall.  logical irp with available resources.  security assessment post training.  dlp that is not based on user trust. we focus on open source, when possible. (our budget is tight)",no,"digital security and automation of redundant user workflows. we focus on open source, when possible. (our budget is tight)","data cleansing and dedup.  user-level it governance.  dr that is not reliant on manual backups.  we focus on open source, when possible. (our budget is tight)","conversion of manual processes into digital application (example: excel schedule to erp schedule).  we focus on open source, when possible. (our budget is tight)","single point to contact all employees.  allow users to bring their own devices and manage dlp and cysec on these non-company devices. 
 we focus on open source, when possible. (our budget is tight)","expand wlan reach. improve network connectivity, potentially rerun cabling. have a one-stop-shop for employees on the intranet for training docs, phone lists, it requests, etc.  we focus on open source, when possible. (our budget is tight)",no,"there has never before been a real emphasis on it leadership enhancement and most years, people have been content with the status quo.  level up training resources are needed.  we focus on open source, when possible. (our budget is tight)",Summer 22,8,0,0,5,3,1
All Aboard America Holdings,CIO,aaahinc.com,"CO
",3000000,"Transportation
",We move people,"1000-5000 employees
","$100M-$250M
",25,7,2,50,Microsoft,NO,"AWS
",.,.,.,.,.,.,.,.,.,Summer 22,0,0,0,0,0,0
Allen and Allen,Director of Information Technology,allenandallen.com,"VA
",not disclosed,"Professional Services
",Legal,"100-250 employees
","$50M-$100M
",7,NO,NO,NO,NO,NO,"AWS
",draas,"multiple providers for cloud, security, and recoverability of data from the cloud, developing bi for better business forecasting, expanding ai access for our clients and users with iot",na,na,no,na,na,na,providing an engaging and expanding focus as the it frontier evolves and current job responsibilities are redefined and require learning and adjusting job requirements.,Summer 22,3,0,1,3,3,0
AmeriGas Propane,Group Director - IT,amerigas.com,"PA
",$ 20 to 30 MM,"Other
","Bulk Propane 
Propane Cylinders - different sizes","5000-10,000 employees
","$1B-$5B
",Multiple,60+,15,600 - 700,NO,"SAP, MS Dynamics, Ortec","Azure
",no,nothing critical at this point in time,"looking for more digital tools and technology to improve customer experience and customer adoption.  our goal is to no call - call centers focusing only special requests, rest all calls should be deflected.  ",no,no,no,no,we are looking for an outsourcing approach and eventually a partner for ams.  ,"continuous improvement and grooming, focusing on strategic work and make a scalable / variable organization.   ",Summer 22,0,3,0,1,2,0
American Expediting,CIO,amexpediting.com,"PA
",$10M,"Transportation
","First and last mile courier of goods, particularly those in life sciences.","500-1000 employees
","$100M-$250M
",53,5,0,0,Windows 11,MS Dynamics,"Azure
","deployment of azure ad
web filtering
email filtering
endpoint protection",backup & security of data and applications,better collaboration tools beyond teams particularly for project management,"creation of data warehouse and associated processes to maintain. 
reporting and dashboarding",interoperability between commercial software,upgrade of current voip system,upgrade of corporate wifi,no real challenges.,corporate-wide security awareness training.,Summer 22,6,2,1,4,6,2
Apple Bank,ISO,applebank.com,"NC
",1.2M,"Banking / Finance
",Banking ,"5000-10,000 employees
","$500M-$1B
",3500,85,7,25,windows,NO,"AWS
",soar/ sase/ sse,api,mobile app,no,no,no,vendor risk,xor,awareness ,Summer 22,2,1,0,0,1,0
Apple Bank,FVP,applebank.com,"NY
",25000000,"Banking / Finance
",Digital Operations,"1000-5000 employees
","$100M-$250M
",109,NO,NO,NO,NO,NO,"AWS
","iam, board reporting, training and awareness, cloud migration",transition from traditional data center to cloud,expanding digital footprint,"byod, cloud based operation resiliency ",no,no,no,no,there are a lot of moving parts and multiple departments need specific training ,Summer 22,2,0,0,6,7,0
Arkwin Industries Inc.,Manager of Information Technology,arkwin.com,"NY
",100000,"Manufacturing / Natural Resources
","We manufacture aerospace components such as actuators, reservoirs, and valves to name a few.","100-250 employees
","$100M-$250M
",1,3,3,0,Windows,Infor,NO,the top cyber initiative within the next 6-12 months include setting up immutable backups as well as expanding into azure for our disaster recovery environment. a dedicated solution for data loss prevention is another area i am interested in exploring.,no,no,no,no,no,the top initiative next fiscal year (starting october 2022) will be to replace our nsa sonicwall firewalls.,no,our top priority is better training resources for our it employees. currently we are using cbt nuggets. i am also interested in solutions for it asset management as well as new help desk software to replace our end of life spiceworks installation.,Summer 22,4,0,0,2,1,1
Armstrong Global Holdings,Global Director of IT,armstronginternational.com,"FL
",1.2 M usd,"Manufacturing / Natural Resources
","Armstrong makes it easier for you with a Roadmap to Decarbonization, tailored for your facilities and industry.
As the call to combat climate change gains momentum and the world moves towards decarbonization, net zero has become our shared destination. Many companies are unsure of how to move forward and want a pragmatic, ready-to-implement solution. Although there is a systematic methodology to decarbonization, what's right for one facility may be wrong for another. Armstrong is here to do what's right for you.","1000-5000 employees
","$250M-$500M
",17,24,2,0,WINDOWs,IFS,"AWS
","i have just gotten budget approval for several cyber security programs that will fill out our new fy initiatives.
pam, zero trust, 2fa for our erp system, 

other topics to be considered for deployment within the next 12 months are

improving patch maintenance
new incident response procedures with table top exercise session.
encryption at rest
selecting a new wifi solution
 ",we have a hybrid cloud infrastructure architecture currently. our on premise compute and storage is reaching end of support soon and i am first thinking to leverage more of the public cloud rather than repurchase on premise hardware every 5 years.,"rpa is very interesting and i have started some povs but the supplier isn't following thru with the pov, therefore i am open again to understanding how this technology can be deployed in my environment.


 ai - we have a new acquisition that started to use ai /ml for grading the quality of certain collectible items. the costs were not controlled and we are now stuck with not being able to complete the project. it would be good to get an open optionion as to how another firm would tackle completing this work.","if the cloud analysis doesn't some back as the first choice infrastructure architecture, we will continue with   on premise dc upgrade.
hyper-converged systems are our first choice but i am open to tradition infrastructure if i can get more than 5 years of life...some style of evergreen ... ",no,we must purchase a minimum of 8 medium size conf room units that are capable of running ms teams meetings.,"i must select and deploy a new wifi system globally

200 aps is my estimate.

i do not want a controller based system any more. ","rpa and ai project will require consultants

our erp upgrade will also require some consultants.",this is more of a need in the area of secession preparation which is still over 4-5 years away.  ,Summer 22,3,3,4,9,10,1
Atlantic Constructor,IT Director,acibuilds.com,"VA
",1.5M,"Manufacturing / Natural Resources
","HVAC, piping, plumbing, General Construction.","500-1000 employees
","$100M-$250M
",19,4,2,NO,win 10,NO,"Azure
",we are looking into some from of dlp to add to our security infrastructure.  we are also looking to improve our backup systems,no,no,no,no,no,we are planning on expanding our firewall equipment to our remote offices.  we are looking to possibly improve on our vpn solution,we are interested in getting assistance on compliance requirements that we are running up to.,no,Summer 22,4,0,1,1,0,0
Avaya,"Director - Cloud, DevOps and Enterprise Architecture",avaya.com,"NC
",Millions,"Other
","Telecommunications, Unified Communications, Contact Centers, Digital Transformation, Omnichannel contact center solution, Private, Public and Hybrid Cloud deployment, Data Analytics, AI and ML to solve unique Contact Center use cases.","5000-10,000 employees
","$1B-$5B
",Multiple - all over the globe,500+,20-50,500+,"Linux, Windows","SAP, Salesforce",NO,"end to end security with encryption
api governance and security
security scan and penetration test
zero trust and ransomware
identity and access management","plan an ecosystem which is a combination of private, public and hybrid cloud. flexibility to shift workloads from one to another - with full governance and security and control over end -to end solution","introduce digital channels (voice, email, chat, sms, social and others)
introduce data analytics with ai/ml to solve interesting use cases","where should data reside in a hybrid environment that is mixture of private, public and hybrid cloud?
how do we drive kpi and analytics from the data?
advanced use cases using ai/ml",no,being ready with omnichannel contact centers with traditional and new channels,no,no,no,Summer 22,7,4,1,5,8,0
Avellino,Head of Digital Product Management and Operations,avellino.com,"CA
",10-25M,"Healthcare / Hospital
",Genetics products,"250-500 employees
","$100M-$250M
",5,NO,NO,NO,NO,NO,"AWS
",no,no,no,no,no,no,no,no,no,Summer 22,0,0,0,0,0,0
"B Real Productions, LLC ",Owner,brealproductions.net,"GA
",10000,"Professional Services
","Cybersecurity, API, VDI, AWS, Citrix","0-50 employees
","Less than $50M
",1,10,10,20,Fortinet ,Microsoft ,"AWS
",leaks,firewall,budget,code tags,no,no,no,no,"cybersecurity, digital sustainability ",Summer 22,3,0,0,3,1,0
BMW of North America,Sr. IT Project Manager / Agile Master,bmwgroup.com,"NJ
",5000000,"Manufacturing / Natural Resources
",Manufacturer of premium automobiles and motorcycles,"10,000+ employees",$5B+,30,70,NO,NO,NO,NO,"AWS
","risk and compliance siem integration
",no,no,no,"compliance with standards for devops steering (requirements, estimation, testing, etc)
",no,no,no,no,Summer 22,3,0,0,1,1,1
BSA,IT Director,scouting.org,"TX
",$250K,"Non-Profit
",Youth leadership development,"5000-10,000 employees
","$250M-$500M
",280+,50,4,5,Windows,Oracle,"AWS
",no,need to identify application hosting services for erp applications.,no,need to identify integration services on the cloud (on-premise and cloud data sources),none,no,no,none,none,Summer 22,0,1,0,1,1,0
BWC Terminals,"VP, Information Technology",bwcterminals.com,"TX
",4M,"Transportation
",Bulk Liquid Storage Solutions,"250-500 employees
","$100M-$250M
",18,7,1,NO,NO,Oracle,"Azure
",looking to add/change access control systems going forward.,no,no,no,no,looking for a sms system we can use internally for associate notifications.,no,no,looking for on demand staffing during acquisition for infrastructure assessment/upgrade projects as needed/warranted.,Summer 22,2,0,2,1,1,1
Bally's Quad Cities Casino and Hotel,IT Director,ballysquadcities.com,"IL
",50000,Travel / Hospitality / Recreation / Entertainment,Gaming,"250-500 employees
","$250M-$500M
",1,6,0,0,Windows,ATI,NO,"ids, ips
commvault cs250 w/tape library",no,no,"improve dr with new hci
better server storage","ssrs, ssis",move from on-prem pbx with pri to hosted pbx and sip,extend wifi to gaming network,no,build the skills,Summer 22,1,2,0,0,2,0
Bank of America,VP; IT Security,bankofamerica.com,"NC
",200000,"Banking / Finance
",Financial Services,"5000-10,000 employees
","$1B-$5B
",5,NO,7,NO,Windows,NO,"Azure
",people returning to the office,no,no,no,no,no,no,no,training new personnel,Summer 22,1,0,0,1,1,0
Barona Band Of Mission Indians,IT Director,barona-nsn.gov,"CA
",1750000,Travel / Hospitality / Recreation / Entertainment,"Email Gateway protection
Endpoint protection 
","100-250 employees
","Less than $50M
",1,8,2,1,windows 10,RSM,"Azure
","helping us decide which email security vendor to select--planning to pivot to 365, so looking to compare different platforms and weigh their options",no,no,backup/disaster recovery--looking at cloud based and non-cloud solutions--interested to see what's out there. ,no,no,network connectivity,no,it certificates--looking for training (certificates as well as cost options) as well as options to track and manage progress of staff,Summer 22,4,0,0,3,4,0
Baxters Foods USA,Director of IT Operations,baxters.com,"OH
",Private,"Manufacturing / Natural Resources
",Food products,"1000-5000 employees
","$500M-$1B
",8,NO,NO,NO,NO,NO,NO,no,no,no,no,no,no,no,no,no,Summer 22,0,0,0,0,0,0
Bond Schoeneck & King,Chief Information Officer,bsk.com,"NY
",$10M,"Professional Services
",Legal services.,"500-1000 employees
","$100M-$250M
",12,35,3,NO,NO,NO,"Azure
",ensuring our security program and posture is as comprehensive as possible.,nothing.,no,assigning client/matter numbers to currently unstructured data.,no,nothing.,replacing switches.,nothing.,always looking at staff appreciation/retention.,Summer 22,1,0,0,0,2,1
Boston Ballet ,IT Director ,bostonballet.org,"MA
",1,"Non-Profit
",Ballet performances and dance education ,"250-500 employees
","Less than $50M
",3,2,2,NO,NO,Tessitura Network ,NO,"a few topics here -
1.the future of byod. 
2. remote users is the greatest risk. 
3. public facing wifi services",none at this time,none at this time,none at this time,no,none at this time,none at this time,none at this time,none at this time,Summer 22,0,0,0,0,1,0
Botprise,Head of Operations,botprise.com,"CA
",500000,"Other
",DevSecOps Automation,"50- 100 employees
","Less than $50M
",3,8,3,NO,NO,NO,"AWS
","securing the software, securing endpoints, compliance process","remote access to the cloud, cloud security, cost reduction",digital transformation as one of the main priorities in the pipeline,"encryption, data protection","software compliance, devops",no,no,cybersecurity ,mostly it√¢‚Ç¨‚Ñ¢s around security work,Summer 22,9,0,0,6,4,1
Bracewell,Director Network Services and Security,bracewell.com,"TX
",250000,"Professional Services
",Legal Services,"500-1000 employees
","$500M-$1B
",10,50,6,20,Windows 10/ Server 2019,NO,"Azure
","working on leadership buy-in for a pam  solution. working on ransomware protection and recovery, and more rigorous patching compliance. browser password management. ",eventually will be moving to cloud and need to be prepared to protect the user/data that make that move,no current digital solution initiatives,bcdr implementation,no,rolling our cisco webex curently,will be looking for a new mpls provider. sd-wan may be a component of that.,no current consulting plans but that is fluid.,training is always important for end users,Summer 22,6,0,0,3,4,1
Bronxcare Health System,CIO,bronxcare.org,"NY
",$25 million,"Healthcare / Hospital
","Healthcare: inpatient, ER, Outpatient","1000-5000 employees
","$500M-$1B
",12,76,3,12,Microsoft,Cantata,"Azure
",multi-factor authentication,backups & dr,rpa,dr and backup,no,no,extend wifi and wireless to remote sites,cloud workload and migration,leadership coaching,Summer 22,4,0,0,2,1,0
Bryant University,AVP Infrastructure and Security Operations,bryant.edu,"RI
",5 million,"Education
",Higher Education,"1000-5000 employees
","$250M-$500M
",1,35,5,0,Microsoft,Azure,"Azure
","zerotrust and getting a handle of our assets (asset management)
vendor management - understanding critical data and how they handle it
ransomeware prevention
security training for end users
table top exercises 
vulnerability management","interested in learning more about the areas i checked off.
zerotrust and getting a handle of our assets (asset management)
vendor management - understanding critical data and how they handle it
ransomeware prevention
security training for end users
table top exercises 
vulnerability management",no,"interested in learning more about the areas i checked off.
zerotrust and getting a handle of our assets (asset management)
vendor management - understanding critical data and how they handle it
ransomeware prevention
security training for end users
table top exercises 
vulnerability management",no,"interested in learning more about the areas i checked off.
zerotrust and getting a handle of our assets (asset management)
vendor management - understanding critical data and how they handle it
ransomeware prevention
security training for end users
table top exercises 
vulnerability management","interested in learning more about the areas i checked off.
zerotrust and getting a handle of our assets (asset management)
vendor management - understanding critical data and how they handle it
ransomeware prevention
security training for end users
table top exercises 
vulnerability management","interested in learning more about the areas i checked off.
zerotrust and getting a handle of our assets (asset management)
vendor management - understanding critical data and how they handle it
ransomeware prevention
security training for end users
table top exercises 
vulnerability management","interested in learning more about the areas i checked off.
zerotrust and getting a handle of our assets (asset management)
vendor management - understanding critical data and how they handle it
ransomeware prevention
security training for end users
table top exercises 
vulnerability management",Summer 22,28,0,0,7,14,0
Care New England,VP Operational Excellence,carenewengland.org,"RI
",1000000,"Healthcare / Hospital
","Acute Hospital services, primary care, specialty care","5000-10,000 employees
","$500M-$1B
",100,50,5,30,MS,NO,NO,no,no,no,"data aggregation, and reporting",no,no,no,no,no,Summer 22,0,0,0,0,0,0
Carr Properties,CTO,carrprop.com,"DC
",1000000,"Other
","Own and manage office buildings in DC, Virginia, Maryland, Boston and Austin Texas","100-250 employees
","$250M-$500M
",3,40,5,MSP,MS,Oracle,"Azure
",would like to see a casb solution that integrates existing and new solutions, we roll out cloud based managed iot solutions for our buildings,we are looking for ai and ml solutions for our building management systems,we are data junkies and always looking for better ui and ux solutions,we built our own mobile application but need it to integrate with many other systems that are associated with our buildings,not looking to add or change anything,going to replace fire walls and build new converged networks in our new developments,we already have consultants for the projects we have in the pipeline,looking for staff training as well as company wide security training,Summer 22,3,0,3,4,5,0
Chevron ,Solution architect ,chevron.com,"CA
",10 million ,"Other
",Oil & Gas,"10,000+ employees","$1B-$5B
",3,2000,100,100,Windows ,SAP,"Azure
",api security; iam; cloud security ,erp cloud migration ,rpa,erp data management ,api development ,no,no,no,no,Summer 22,2,2,0,3,5,0
Chief Industries,IT Manager,chiefind.com,"NE
",45000000,"Manufacturing / Natural Resources
",Agriculture Manufacturer and Ethanol Production,"1000-5000 employees
","$500M-$1B
",14,27,1,0,Windows 2019,IFS,"Azure
",identity management will be a primary focus,data storage in the cloud to help with dr,no,data visualization and classification,no,moving from on prem phone to cloud,finding and training talent,supplement talent with services,training my existing team,Summer 22,3,1,0,4,5,0
"Chief Industries, Inc.",IT Director,chiefind.com,"NE
",4400000,"Manufacturing / Natural Resources
","Grain bins, Construction, Steel buildings, manufactured homes, flat bed trucking, steel parts, ethanol plants","1000-5000 employees
","$250M-$500M
",14,30,1,0,Windows 10,IFS,"Azure
",looking for a pam solution.  also incident response.  may also look at managed security service providers.,we are considering utilizing co-location.,no projects,no projects,no projects,no projects,no projects,no projects,no projects,Summer 22,1,0,0,0,1,1
City of Ardmore,Chief Information Officer,ardmorecity.org,"OK
",$50k,"Government (state/local/federal)
","We are a municipal Government.  We provide public safety, road work, Utilities, Parks & Rec and Community Development.","250-500 employees
","$50M-$100M
",13,11,2,3,Windows,Incode - Tyler Technologies,"AWS
","trying to implement zero trust, starting mfa and establishing an effective pen testing and security assessments.",i am looking at creating a cloud solution for document retention and availability.  we have documents on every property in the city of ardmore.  i am looking for a way for employees and citizens to access their data and potentially act upon it.,nothing in the time frame mentioned.,i am looking at creating a cloud solution for document retention and availability.  we have documents on every property in the city of ardmore.  i am looking for a way for employees and citizens to access their data and potentially act upon it.,nothing in the time frame mentioned.,we currently have a cisco call manager and unity voicemail.  we are looking to upgrade in the next 3-6 months.,we have a cisco based network.  all out 13 facilities are connected by dark fiber.  i would like to increase the speed between these sites and also look for some redundancy.,nothing in the time frame mentioned.,nothing in the time frame mentioned.,Summer 22,2,0,1,5,9,2
City of Bellevue,Business Systems Manager,bellevuewa.gov,"WA
",$1B plus,"Government (state/local/federal)
","My department: Utilities - Water, Sewer and Storm","100-250 employees
","$1B-$5B
",one,NO,NO,NO,NO,NO,"Azure
",no,  in planning,    in planning,    in planning,    in planning,     in planning,no,    in planning,      in planning,Summer 22,0,0,0,0,0,0
City of Birmingham,Information Security Officer,birminghamal.gov,"AL
",3-5 billion,"Government (state/local/federal)
","The IMS department provides IT troubleshooting, maintenance, and installations of all COB-owned devices and software. All Telecommunications services and equipment, research and development of Applications, and Cyber Security and Data Governance. I create information security policies and procedures along with building an Information Security Program from the ground up.","1000-5000 employees
","$1B-$5B
",50,75,2,NO,NO,NO,"Azure
","there are no projects currently scheduled for the next year.  however, it usually takes the city a year to evaluate a product, apply for funding from the city council, and purchase it.  therefore, no rush, but these are things that are on the horizon.",no,no,no,no,no,no projects are scheduled for the next 3-6 months.,no projects are scheduled for the next 3-6 months.,nothing in the next 3-6 months.,Summer 22,0,0,0,0,1,0
City of Burbank,ACIO,burbankca.gov,"CA
",5M,"Government (state/local/federal)
",Local government so we support citizens and businesses.,"1000-5000 employees
","$50M-$100M
",4,35,1,50,Windows,ORACLE,"AWS
",iam,no,moving from manual to automated activities in a variety of areas.,primarily setting-up a data warehouse and centralizing data management.,nothing here,no,no,we have no one who specializes in data analytics and i am interested in working with an outsourced company to help us move those initiatives along. especially with analytics.,we need more sophisticated management and leadership training.  especially in regards to managing conflict and providing feedback in a productive manner.,Summer 22,1,0,0,1,3,0
City of Fayetteville,IT Project Manager,fayettevillenc.gov,"NC
",5000000,"Government (state/local/federal)
",City Services.,"1000-5000 employees
","$250M-$500M
",2,26,1,5,Windows,Oracle,"Azure
",no,we are just assessing what to put into the cloud and that seems to be the challenge.,"we need to get more citizens out of the office and communicate with us digitally.
",our big struggle is the amount of data and what can be done with it with respect to analytical and presenting via realtime dashboards,no,no,none,find in quality personnel that will work for governament wages.,no,Summer 22,0,0,0,2,2,0
